FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,,Afghanistan,06-02-2021 05:23,33.93911,67.709953,55265,2407,48018,4840,Afghanistan,141.9659779,4.35537863
,,,Albania,06-02-2021 05:23,41.1533,20.1683,83082,1433,50219,31430,Albania,2886.997012,1.724802003
,,,Algeria,06-02-2021 05:23,28.0339,1.6596,108629,2909,74330,31390,Algeria,247.7227281,2.677922102
,,,Andorra,06-02-2021 05:23,42.5063,1.5218,10172,104,9444,624,Andorra,13165.08121,1.022414471
,,,Angola,06-02-2021 05:23,-11.2027,17.8739,20030,474,18431,1125,Angola,60.94394411,2.366450325
,,,Antigua and Barbuda,06-02-2021 05:23,17.0608,-61.7964,277,7,183,87,Antigua and Barbuda,282.8608774,2.527075812
,,,Argentina,06-02-2021 05:23,-38.4161,-63.6167,1970009,48985,1763762,157262,Argentina,4358.834234,2.486536864
,,,Armenia,06-02-2021 05:23,40.0691,45.0382,167726,3109,159350,5267,Armenia,5660.23473,1.853618401
,,Australian Capital Territory,Australia,06-02-2021 05:23,-35.4735,149.0124,118,3,115,0,"Australian Capital Territory, Australia",27.56365335,2.542372881
,,New South Wales,Australia,06-02-2021 05:23,-33.8688,151.2093,5119,54,0,1807,"New South Wales, Australia",63.0574033,1.054893534
,,Northern Territory,Australia,06-02-2021 05:23,-12.4634,130.8456,101,0,98,3,"Northern Territory, Australia",41.1237785,0
,,Queensland,Australia,06-02-2021 05:23,-27.4698,153.0251,1311,6,1294,11,"Queensland, Australia",25.62799335,0.457665904
,,South Australia,Australia,06-02-2021 05:23,-34.9285,138.6007,602,4,596,2,"South Australia, Australia",34.27270139,0.664451827
,,Tasmania,Australia,06-02-2021 05:23,-42.8821,147.3272,234,13,221,0,"Tasmania, Australia",43.69747899,5.555555556
,,Victoria,Australia,06-02-2021 05:23,-37.8136,144.9631,20456,820,19614,22,"Victoria, Australia",308.541607,4.008603833
,,Western Australia,Australia,06-02-2021 05:23,-31.9505,115.8605,907,9,887,11,"Western Australia, Australia",34.47882612,0.992282249
,,,Austria,06-02-2021 05:23,47.5162,14.5501,421189,7973,399329,13887,Austria,4676.55223,1.892974413
,,,Azerbaijan,06-02-2021 05:23,40.1431,47.5769,230907,3153,224760,2994,Azerbaijan,2277.374638,1.365484806
,,,Bahamas,06-02-2021 05:23,25.025885,-78.035889,8256,176,6819,1261,Bahamas,2099.438522,2.131782946
,,,Bahrain,06-02-2021 05:23,26.0275,50.55,106198,377,100363,5458,Bahrain,6241.129583,0.354997269
,,,Bangladesh,06-02-2021 05:23,23.685,90.3563,537465,8182,482424,46859,Bangladesh,326.3507278,1.522331687
,,,Barbados,06-02-2021 05:23,13.1939,-59.5432,1656,17,1289,350,Barbados,576.2585647,1.026570048
,,,Belarus,06-02-2021 05:23,53.7098,27.9534,255172,1764,243144,10264,Belarus,2700.426835,0.691298418
,,Antwerp,Belgium,06-02-2021 05:23,51.2195,4.4024,90042,0,0,90042,"Antwerp, Belgium",4846.215203,0
,,Brussels,Belgium,06-02-2021 05:23,50.8503,4.3517,89368,0,0,89368,"Brussels, Belgium",7394.695426,0
,,East Flanders,Belgium,06-02-2021 05:23,51.0362,3.7373,75333,0,0,75333,"East Flanders, Belgium",4972.265198,0
,,Flemish Brabant,Belgium,06-02-2021 05:23,50.9167,4.5833,55226,0,0,55226,"Flemish Brabant, Belgium",4818.286911,0
,,Hainaut,Belgium,06-02-2021 05:23,50.5257,4.0621,110693,0,0,110693,"Hainaut, Belgium",8234.609717,0
,,Liege,Belgium,06-02-2021 05:23,50.4496,5.8492,102404,0,0,102404,"Liege, Belgium",9250.654025,0
,,Limburg,Belgium,06-02-2021 05:23,50.9739,5.342,35548,0,0,35548,"Limburg, Belgium",4067.053526,0
,,Luxembourg,Belgium,06-02-2021 05:23,50.0547,5.4677,20324,0,0,20324,"Luxembourg, Belgium",7140.297501,0
,,Namur,Belgium,06-02-2021 05:23,50.331,4.8221,38046,0,0,38046,"Namur, Belgium",7696.55591,0
,,Unknown,Belgium,06-02-2021 05:23,,,12876,21295,0,-8419,"Unknown, Belgium",,165.3852128
,,Walloon Brabant,Belgium,06-02-2021 05:23,50.4,4.35,27975,0,0,27975,"Walloon Brabant, Belgium",6931.384865,0
,,West Flanders,Belgium,06-02-2021 05:23,51.0536,3.1458,63597,0,0,63597,"West Flanders, Belgium",5318.382065,0
,,,Belize,06-02-2021 05:23,17.1899,-88.4976,12013,306,11468,239,Belize,3021.218698,2.547240489
,,,Benin,06-02-2021 05:23,9.3077,2.3158,4193,55,3563,575,Benin,34.58658351,1.311709993
,,,Bhutan,06-02-2021 05:23,27.5142,90.4336,861,1,852,8,Bhutan,111.5845788,0.116144019
,,,Bolivia,06-02-2021 05:23,-16.2902,-63.5887,225910,10687,166446,48777,Bolivia,1935.316018,4.730644947
,,,Bosnia and Herzegovina,06-02-2021 05:23,43.9159,17.6791,123434,4775,97128,21531,Bosnia and Herzegovina,3762.296868,3.868464118
,,,Botswana,06-02-2021 05:23,-22.3285,24.6849,23503,163,19574,3766,Botswana,999.4365598,0.693528486
,,Acre,Brazil,06-02-2021 05:23,-9.0238,-70.812,50122,884,44202,5036,"Acre, Brazil",5683.185269,1.76369658
,,Alagoas,Brazil,06-02-2021 05:23,-9.5713,-36.782,120028,2788,114837,2403,"Alagoas, Brazil",3596.498666,2.322791349
,,Amapa,Brazil,06-02-2021 05:23,0.902,-52.003,78423,1074,58615,18734,"Amapa, Brazil",9272.806602,1.369496194
,,Amazonas,Brazil,06-02-2021 05:23,-3.4168,-65.8561,278789,8815,232091,37883,"Amazonas, Brazil",6726.56473,3.161889458
,,Bahia,Brazil,06-02-2021 05:23,-12.5797,-41.7007,602792,10294,579215,13283,"Bahia, Brazil",4052.910685,1.707720076
,,Ceara,Brazil,06-02-2021 05:23,-5.4984,-39.3206,380710,10585,288011,82114,"Ceara, Brazil",4168.930664,2.780331486
,,Distrito Federal,Brazil,06-02-2021 05:23,-15.7998,-47.8645,280026,4600,270060,5366,"Distrito Federal, Brazil",9286.935689,1.642704606
,,Espirito Santo,Brazil,06-02-2021 05:23,-19.1834,-40.3089,300624,5975,283076,11573,"Espirito Santo, Brazil",7480.721138,1.987532599
,,Goias,Brazil,06-02-2021 05:23,-15.827,-49.8362,359096,7672,344651,6773,"Goias, Brazil",5116.527323,2.13647604
,,Maranhao,Brazil,06-02-2021 05:23,-4.9609,-45.2744,209331,4754,196784,7793,"Maranhao, Brazil",2958.666358,2.271044422
,,Mato Grosso,Brazil,06-02-2021 05:23,-12.6819,-56.9211,222942,5177,208482,9283,"Mato Grosso, Brazil",6398.168328,2.322128625
,,Mato Grosso do Sul,Brazil,06-02-2021 05:23,-20.7722,-54.7852,164314,2983,153604,7727,"Mato Grosso do Sul, Brazil",5912.732198,1.815426561
,,Minas Gerais,Brazil,06-02-2021 05:23,-18.5122,-44.555,762412,15667,685701,61044,"Minas Gerais, Brazil",3601.584994,2.054925683
,,Para,Brazil,06-02-2021 05:23,-1.9981,-54.9306,336453,7717,315277,13459,"Para, Brazil",3910.941297,2.293633881
,,Paraiba,Brazil,06-02-2021 05:23,-7.24,-36.782,195482,4123,149792,41567,"Paraiba, Brazil",4865.003023,2.109145599
,,Parana,Brazil,06-02-2021 05:23,-25.2521,-52.0215,564903,10317,416060,138526,"Parana, Brazil",4940.573067,1.826331246
,,Pernambuco,Brazil,06-02-2021 05:23,-8.8137,-36.9541,268486,10452,226973,31061,"Pernambuco, Brazil",2809.291675,3.892940414
,,Piaui,Brazil,06-02-2021 05:23,-7.7183,-42.7289,161336,3112,157757,467,"Piaui, Brazil",4928.958487,1.928893737
,,Rio Grande do Norte,Brazil,06-02-2021 05:23,-5.4026,-36.9541,142465,3320,98586,40559,"Rio Grande do Norte, Brazil",4062.474247,2.33039694
,,Rio Grande do Sul,Brazil,06-02-2021 05:23,-30.0346,-51.2177,560540,10929,537320,12291,"Rio Grande do Sul, Brazil",4926.854398,1.949727049
,,Rio de Janeiro,Brazil,06-02-2021 05:23,-22.9068,-43.1729,535134,30545,499782,4807,"Rio de Janeiro, Brazil",3099.541076,5.707916148
,,Rondonia,Brazil,06-02-2021 05:23,-11.5057,-63.5806,129902,2326,108793,18783,"Rondonia, Brazil",7309.260223,1.790580592
,,Roraima,Brazil,06-02-2021 05:23,-2.7376,-62.0751,75288,886,69826,4576,"Roraima, Brazil",12428.66411,1.176814366
,,Santa Catarina,Brazil,06-02-2021 05:23,-27.2423,-50.2189,590449,6490,567005,16954,"Santa Catarina, Brazil",8240.983543,1.099163518
,,Sao Paulo,Brazil,06-02-2021 05:23,-23.5505,-46.6333,1833163,54324,1573945,204894,"Sao Paulo, Brazil",3992.162381,2.9634026
,,Sergipe,Brazil,06-02-2021 05:23,-10.5741,-37.3857,140005,2818,123868,13319,"Sergipe, Brazil",6090.627034,2.012785258
,,Tocantins,Brazil,06-02-2021 05:23,-10.1753,-48.2982,103950,1407,91835,10708,"Tocantins, Brazil",6608.954609,1.353535354
,,,Brunei,06-02-2021 05:23,4.5353,114.7277,180,3,172,5,Brunei,41.1444559,1.666666667
,,,Bulgaria,06-02-2021 05:23,42.7339,25.4858,223059,9302,193030,20727,Bulgaria,3210.200268,4.170197123
,,,Burkina Faso,06-02-2021 05:23,12.2383,-1.5616,11143,132,9941,1070,Burkina Faso,53.30742862,1.184600197
,,,Burma,06-02-2021 05:23,21.9162,95.956,141304,3168,127229,10907,Burma,259.7032439,2.241974749
,,,Burundi,06-02-2021 05:23,-3.3731,29.9189,1698,3,773,922,Burundi,14.27997034,0.176678445
,,,Cabo Verde,06-02-2021 05:23,16.5388,-23.0418,14306,135,13622,549,Cabo Verde,2573.077117,0.943660003
,,,Cambodia,06-02-2021 05:23,11.55,104.9167,472,0,453,19,Cambodia,2.823140252,0
,,,Cameroon,06-02-2021 05:23,3.848,11.5021,30313,474,28045,1794,Cameroon,114.1910469,1.563685547
,,Alberta,Canada,06-02-2021 05:23,53.9333,-116.5765,126068,1693,117968,6407,"Alberta, Canada",2856.646936,1.34292604
,,British Columbia,Canada,06-02-2021 05:23,53.7267,-127.6476,69716,1246,62567,5903,"British Columbia, Canada",1364.0605,1.787251133
,,Diamond Princess,Canada,21-12-2020 13:27,,,0,1,0,,"Diamond Princess, Canada",,
,,Grand Princess,Canada,21-12-2020 13:27,,,13,0,13,0,"Grand Princess, Canada",,0
,,Manitoba,Canada,06-02-2021 05:23,53.7609,-98.8139,30078,838,25887,3353,"Manitoba, Canada",2183.493924,2.786089501
,,New Brunswick,Canada,06-02-2021 05:23,46.5653,-66.4619,1325,18,1078,229,"New Brunswick, Canada",169.8733194,1.358490566
,,Newfoundland and Labrador,Canada,06-02-2021 05:23,53.1355,-57.6604,412,4,391,17,"Newfoundland and Labrador, Canada",79.02333298,0.970873786
,,Northwest Territories,Canada,06-02-2021 05:23,64.8255,-124.8457,36,0,35,1,"Northwest Territories,Canada",80.17103153,0
,,Nova Scotia,Canada,06-02-2021 05:23,44.682,-63.7443,1584,65,1511,8,"Nova Scotia, Canada",162.0531645,4.103535354
,,Nunavut,Canada,06-02-2021 05:23,70.2998,-83.1076,296,1,281,14,"Nunavut, Canada",763.2800413,0.337837838
,,Ontario,Canada,06-02-2021 05:23,51.2538,-85.3232,280088,6435,248518,25135,"Ontario, Canada",1903.828804,2.297492217
,,Prince Edward Island,Canada,06-02-2021 05:23,46.5107,-63.4168,112,0,110,2,"Prince Edward Island, Canada",70.81526069,0
,,Quebec,Canada,06-02-2021 05:23,52.9399,-73.5491,267773,9973,245339,12461,"Quebec, Canada",3136.369461,3.724423299
,,Repatriated Travellers,Canada,06-02-2021 05:23,,,13,0,13,0,"Repatriated Travellers, Canada",,0
,,Saskatchewan,Canada,06-02-2021 05:23,52.9399,-106.4509,24946,332,22315,2299,"Saskatchewan, Canada",2111.087228,1.330874689
,,Yukon,Canada,06-02-2021 05:23,64.2823,-135,70,1,69,0,"Yukon, Canada",170.4075174,1.428571429
,,,Central African Republic,06-02-2021 05:23,6.6111,20.9394,4989,63,4885,41,Central African Republic,103.2969727,1.262778112
,,,Chad,06-02-2021 05:23,15.4542,18.7322,3450,124,2810,516,Chad,21.00346776,3.594202899
,,Antofagasta,Chile,06-02-2021 05:23,-23.6509,-70.3975,32784,673,30289,1822,"Antofagasta, Chile",5396.241198,2.052830649
,,Araucania,Chile,06-02-2021 05:23,-38.9489,-72.3311,33200,427,31203,1570,"Araucania, Chile",3468.362682,1.286144578
,,Arica y Parinacota,Chile,06-02-2021 05:23,-18.594,-69.4785,13346,260,12438,648,"Arica y Parinacota, Chile",5903.53345,1.948149258
,,Atacama,Chile,06-02-2021 05:23,-27.5661,-70.0503,10526,131,9964,431,"Atacama, Chile",3642.920427,1.244537336
,,Aysen,Chile,06-02-2021 05:23,-45.9864,-73.7669,2611,21,2440,150,"Aysen, Chile",2531.068846,0.804289544
,,Biobio,Chile,06-02-2021 05:23,-37.4464,-72.1416,62813,1108,59132,2573,"Biobio, Chile",4034.737812,1.763966058
,,Coquimbo,Chile,06-02-2021 05:23,-29.959,-71.3389,17637,352,16448,837,"Coquimbo, Chile",2328.052525,1.995804275
,,Los Lagos,Chile,06-02-2021 05:23,-41.9198,-72.1416,44254,448,40742,3064,"Los Lagos, Chile",5340.119801,1.012337868
,,Los Rios,Chile,06-02-2021 05:23,-40.231,-72.3311,15504,169,14216,1119,"Los Rios, Chile",4028.718652,1.09004128
,,Magallanes,Chile,06-02-2021 05:23,-52.368,-70.9863,20386,280,19516,590,"Magallanes, Chile",12241.41762,1.373491612
,,Maule,Chile,06-02-2021 05:23,-35.5183,-71.6885,37083,725,34204,2154,"Maule, Chile",3548.782238,1.955073753
,,Metropolitana,Chile,06-02-2021 05:23,-33.4376,-70.6505,346283,11447,330077,4759,"Metropolitana, Chile",4868.442955,3.305677726
,,Nuble,Chile,06-02-2021 05:23,-36.7226,-71.7622,14348,282,13302,764,"Nuble, Chile",2985.378967,1.965430722
,,OHiggins,Chile,06-02-2021 05:23,-34.5755,-71.0022,26863,683,25199,981,"OHiggins, Chile",2937.275506,2.542530618
,,Tarapaca,Chile,06-02-2021 05:23,-19.9232,-69.5132,22064,368,20698,998,"Tarapaca, Chile",6674.77417,1.667875272
,,Unknown,Chile,06-02-2021 05:23,,,51,1,51,,"Unknown, Chile",,1.960784314
